id,fighter_id,name,weightclass,wins,losses,draws,currentElo,maxElo,scaled_z_score_composite,currentCombinedScore
0,229,Andrei Arlovski,Heavyweight,24,18,0,1546.225192219299,1822.172806511661,1713.761287285642,1604.862825492519
1,268,Robbie Lawler,Welterweight,15,10,0,1726.9283703813562,1837.5151598006803,1843.0536411612263,1767.5722151543107
2,408,Ed Herman,Middleweight,13,13,0,1545.158018890083,1611.5416754652774,1821.42342932566,1641.8509125425348
3,457,Clay Guida,Lightweight,18,19,0,1516.7010812441413,1678.738031945633,1721.7528823124858,1588.4692116180618
4,581,Matt Brown,Welterweight,17,13,0,1645.074721215023,1729.876447354755,1865.038083184078,1722.0618979041922
5,596,Jon Jones,Light Heavyweight,22,2,0,2098.4185824643887,2098.4185824643887,1802.6876732967332,1994.9127642557091
6,607,Jim Miller,Lightweight,28,17,0,1708.9591844208733,1778.9147331369509,1887.6895335003185,1771.5148065986791
7,612,Rafael Dos Anjos,Lightweight,21,15,0,1707.9586485445263,1849.011405720356,1778.930254315659,1732.798710564423
8,723,Darren Elkins,Lightweight,19,10,0,1664.9065192630555,1746.1888887149978,1766.7298439819322,1700.5446829146622
9,735,Court McGee,Middleweight,11,12,0,1503.8015947069728,1630.6426473118556,1704.1315152927014,1573.9170669119776
10,740,Brad Tavares,Middleweight,15,10,0,1595.4710718869358,1703.7439081366715,1642.4519798645026,1611.9143896790843
11,750,Charles Oliveira,Lightweight,23,11,0,1873.667971526327,1897.7305011573592,1881.3867669491392,1876.3695499243113
12,773,Edson Barboza,Lightweight,18,12,0,1679.4959955990216,1751.6020972508145,1813.112105161931,1726.26163394604
13,777,Michael Johnson,Lightweight,15,15,0,1561.5956353668598,1677.9140063308475,1722.776670080299,1618.0089975165636
14,791,John Makdessi,Lightweight,11,9,0,1553.441488812619,1607.2660779665907,1675.872911672041,1596.2924868134166
15,792,Dustin Poirier,Featherweight,22,9,0,1841.5376781084688,1890.49885190834,1925.196205642254,1870.8181627452936
16,796,Rani Yahya,Featherweight,14,6,1,1628.9637659303148,1704.3179557345209,1809.8873008258245,1692.2870031437433
17,812,Chris Weidman,Middleweight,12,8,0,1679.8751952251955,1979.6315954329168,1751.0626967725975,1704.790820766786
18,827,Chan Sung Jung,Featherweight,7,5,0,1688.7405048100925,1735.9604069679535,1840.17434417994,1741.7423485895392
19,829,Alex Caceres,Featherweight,17,13,0,1598.663871439802,1634.250443058279,1755.800124289114,1653.6615599370612
20,832,Jose Aldo,Featherweight,14,8,0,1782.205273551233,1910.9877010772063,1723.416809924498,1761.6293112818757
21,838,Tony Ferguson,Welterweight,15,9,0,1667.9941195877868,1942.314109910704,1851.5677796964087,1732.2449006258043
22,881,Stipe Miocic,Heavyweight,14,5,0,1942.726219067099,2010.385252303363,1836.7881196288213,1905.6478842637016
